"VISA","Visa"
"MASTER_CARD","Master Card"
"S_PANKKI_VERKKOMAKSU","S-pankki"
"AKTIA_MAKSU","Aktia"
"OP_POHJOLA_VERKKOMAKSU","OP-Pohjola"
"NORDEA_E_PAYMENT","Nordea"
"SAMPO_WEB_PAYMENT","Danske Bank"
"TAPIOLA_VERKKOMAKSU","Tapiola"
"HANDELSBANKEN_E_PAYMENT","Handelsbanken"
"ALANDSBANKEN_E_PAYMENT","Ålandsbanken"
"NORDEA_SE_DB",""
"HANDELSBANKEN_SE_DB",""
"SWEDBANK_SE_DB",""
"SEB_SE_DB",""
"INVOICE_COLLECTOR","Collector Lasku"
"BANK_AXESS",""
"DANKORT","Dankort"
"NORDEA_DK_DB",""
"DANSKE_NETBETALING",""
"HANDELSBANKEN_SE_INVOICE",""
"AMEX","American Express"
"DINERS","Diners"
"HANDELSBANKEN_SE_ACCOUNT",""
"SVEA_WEBPAY_INSTALLMENT","Svea Osamaksu"
"SVEA_WEBPAY_INVOICE","Svea Lasku"
"SAASTOPANKIN_VERKKOMAKSU","Säästöpankki"
"POP_PANKIN_VERKKOMAKSU","POP Pankki"
"Problem with retrieve payment methods. %1$s","Problem with retrieve payment methods. %1$s"
"Payment methods retrieved correctly. Please save configuration for apply.","Payment methods retrieved correctly. Please save configuration for apply."
"Get Available Payment Methods","Get Available Payment Methods"
"Select payment methods and set groups","Valitse maksutavat ja aseta ryhmät"
"Payment was canceled. Cancel reason: %1$s","Payment was canceled. Cancel reason: %1$s"
"Payment %1$s captured","Payment %1$s captured"
"There was a problem while processing refund create request.","There was a problem while processing refund create request."
"There was a problem while processing order refund request.","There was a problem while processing order refund request."
"Transaction %1 not found.","Transaction %1 not found."
"Production","Production"
"Test","Test"
"Order request data array is invalid.","Order request data array is invalid."
"Title","Otsikko"
"Enabled","Käytössä"
"Module on live mode","Module on live mode"
"Select if extension is on live mode (Production) or test mode (Test)","Select if extension is on live mode (Production) or test mode (Test)"
"Verifone Payment merchant agreement code","Verifonen kauppiasnumero"
"Required. Verifone Payment agreement code","Pakollinen tieto. Kauppiasnumero, jolla Verifonen tili on avattu"
"Shop private key filename","Kaupan private key -avaintiedoston nimi"
"Required. Path and filename of shop secret key file generated with Verifone key pair generator","Pakollinen tieto. Polku ja tiedostonimi Verifonen private-avaimelle maksujen salaukseen."
"Verifone public key filename","Verifonen publik key -avaintiedoston nimi"
"Required. Path and filename of Verifone public key file","Pakollinen tieto. Polku ja tiedostonimi Verifonen public-avaimelle maksujen salaukseen."
"Pay page URL 1","Maksusivun URL 1"
"Required. URL to the payment system","Pakollinen tieto. URL-osoite, johon maksut ohjataan."
"Pay page URL 2","Maksusivun URL 2"
"Pay page URL 3","Maksusivun URL 3"
"Optional. Second redundant URL to the payment system","Optional. Second redundant URL to the payment system"
"Optional. Third redundant URL to the payment system","Optional. Third redundant URL to the payment system"
"Check payment node availability","Tarkasta maksusivujen toimivuus"
"Make a check that payment node is available","Make a check that payment node is available."
"Skip confirmation page","Ohita maksun vahvistussivu maksun jälkeen"
"Return directly to shop after payment","Return directly to shop after payment."
"Disable rsa blinding",""
"Define CRYPT_RSA_DISABLE_BLINDING as true in case of custom PHP build or PHP7 (experimental)","Define CRYPT_RSA_DISABLE_BLINDING as true in case of custom PHP build or PHP7 (experimental)"
"Basket Item Sending","Tuoterivien lähetys"
"Do not send basket items","Älä lähetä tuoterivejä"
"Send for all payment methods","Lähetä kaikille maksutavoille"
"Send only for invoice payment methods","Lähetä lasku-maksutavoille"
"Combine Invoice Basket Items","Yhdistä tuoterivit yhdeksi riviksi"
"Sort order","Järjestysnumero"
"Select payment methods and set groups","Valitse maksutavat ja aseta ryhmät"
"Card payments group","Card payments group"
"Allow to save Credit Cards","Allow to save Credit Cards"
"Remember me info","Remember me info"
"Optional. Note in checkout after Remember payment method"" checkbox - for cards only","Optional. Note in checkout after Remember payment method"" checkbox - for cards only"
"Save masked PAN number","Save masked PAN number"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"New Payment Order Status","New Payment Order Status"
"Completed Payment Order Status","Completed Payment Order Status"
"Payment interface error","Virhe maksurajapinnassa"
"You will be redirected to Verifone to complete your order.","Sinut ohjataan Verifonen maksuportaaliin viimeistelemään ostos."
"Select payment methods and set groups","Valitse maksutavat ja aseta ryhmät"
"Group Position","Ryhmän sijainti"
"Group name","Ryhmän nimi"
"Payments","Maksutavat"
"Edit sort order","Edit order"
"Save sort order","Save sort order"
"Add new group","Lisää uusi ryhmä"
"Show those without groups","Näytä maksutavat ryhmittelemättä"
"Verifone online payments / %1","Verifone online payments / %1"
"Payment Cards","Maksukortit"
"Payment Method Code","Payment Method Code"
"Place Order and Pay with Verifone","Place Order and Pay with Verifone"
